number,coordinate,occurrence,isolatedRevisionTime,nodes,edges
75,com.twitter:inject-utils_2.13:20.10.0,1,342,1533,0
76,javax.xml.ws:jaxws-api:2.3.0,1,85,291,0
77,org.jboss.narayana.jts:narayana-jts-integration:5.9.8.Final,1,83,264,0
78,javax.xml.ws:jaxws-api:2.3.1,1,351,291,0
79,org.opendaylight.bgpcep:util:0.14.3,1,61,93,0
80,org.kie.kogito:drools-core:1.2.0.Final,1,144,426,0
81,org.springframework:spring-aop:3.1.0.RELEASE,1,595,1408,0
82,org.apache.shiro:shiro-core:1.3.2,1,749,2339,0
83,org.jruby:jruby:9.2.12.0,1,0,0,0
84,io.grpc:grpc-protobuf-lite:1.35.0,1,43,28,0
85,org.springframework.boot:spring-boot-actuator-autoconfigure:2.0.2.RELEASE,1,410,2276,0
86,com.google.zetasql:zetasql-jni-channel-darwin:2020.10.1,1,29,0,0
87,org.eclipse.rdf4j:rdf4j-repository-http:3.1.0,1,76,134,0
88,ai.h2o:h2o-web:3.30.1.3,1,11963,19424,0
89,com.amazonaws:aws-java-sdk-mediapackage:1.11.438,1,0,0,0
90,io.zipkin.zipkin2:zipkin:2.12.0,1,459,1027,0
91,org.geotools.ogc:net.opengis.ows:24.1,1,0,0,0
92,org.eclipse.equinox:javax.servlet.jsp:2.2.0.v201112011158,1,0,0,0
93,org.eclipse.jetty:jetty-servlet:9.4.31.v20200723,1,335,545,0
94,com.nepxion:discovery-plugin-starter-consul:3.17.0,1,2838,0,0
95,org.glassfish.jersey.ext:jersey-bean-validation:2.25.1,1,24,123,0
96,org.odpi.egeria:integration-daemon-services-api:2.4,1,52,92,0
97,org.reactivemongo:reactivemongo-iteratees_2.12:1.0.0,1,110,346,0
98,org.apache.camel:camel-irc:2.23.2.fuse-780030,1,0,0,0
99,com.twitter:util-app-lifecycle_2.12:21.1.0,1,65,208,0
100,io.avaje:avaje-http-jex-generator:1.2.1,1,2861,21,0
101,com.volcengine:volc-sdk-java:1.0.0,1,3926,500,0
102,org.eclipse.jetty.http2:http2-http-client-transport:9.4.33.v20201020,1,96,153,0
103,io.netty:netty-codec-http:4.1.17.Final,1,1012,3421,0
104,com.hotels:circus-train-core:16.3.0,1,468,429,0
105,com.hotels:circus-train-core:16.3.3,1,484,429,0
106,io.quarkus:quarkus-vertx-http-dev-console-runtime-spi:1.11.4.Final,1,29,31,0
107,org.tpolecat:natchez-core_2.12:0.0.20,1,123,391,0
108,io.springfox:springfox-swagger-common:2.8.0,1,117,378,0
109,org.jboss.resteasy:resteasy-json-p-provider:4.5.8.Final,1,26,41,0
110,org.assertj:assertj-core:2.4.1,1,2615,5935,0
111,org.jfree:jcommon:1.0.23,1,1880,1542,0
112,org.eclipse.jetty:jetty-servlet:8.1.1.v20120215,1,278,410,0
113,com.chuusai:shapeless_2.10.3:2.0.0-M1,1,2181,5798,0
114,net.guerlab.spring:guerlab-spring-swagger2-starter:3.1.1,1,60,105,0
115,com.soulgalore:xml-velocity:1.5,1,4505,27,0
116,org.springframework.boot:spring-boot-starter:2.1.8.RELEASE,1,0,0,0
117,org.apache.tomcat.embed:tomcat-embed-el:9.0.21,1,1104,1152,0
118,org.drools:drools-ecj:7.47.0.Final,1,0,0,0
119,org.apache.jackrabbit:jackrabbit-spi-commons:2.20.1,1,5015,3451,0
120,org.apache.tomcat.embed:tomcat-embed-el:9.0.22,1,1077,1152,0
121,com.aliyun:tea-xml:0.1.1,1,70,9,0
122,commons-pool:commons-pool:1.6.0.redhat-9,1,0,0,0
123,io.quee.ktx.radix:ktx-radix-development-operation:v1.2.2-RELEASE,1,3249,18,0
124,org.optaplanner:optaplanner-persistence-jaxb:7.44.0.Final,1,44,49,0
125,com.daml:contextualized-logging_2.13:1.11.0-snapshot.20210224.6385.0.dba114a2,1,90,217,0
126,org.locationtech.geomesa:geomesa-feature-nio_2.11:2.3.3,1,82,123,0
127,com.sap.cloud.instancemanager:client:1.17.2,1,188,424,0
128,org.eclipse.paho:mqtt-client:0.4.0,1,0,0,0
129,org.apache.tomcat.embed:tomcat-embed-el:9.0.16,1,0,0,0
130,org.springframework.boot:spring-boot-actuator-autoconfigure:2.3.1.RELEASE,1,0,0,0
131,org.kie.soup:kie-soup-xstream:7.46.0.Final,1,33,47,0
132,org.apache.tomcat.embed:tomcat-embed-el:9.0.19,1,795,1152,0
133,org.apache.olingo:odata-server-api:4.7.1,1,129,779,0
134,io.ktor:ktor-network-jvm:1.5.1,1,0,0,0
135,org.apache.streampipes:streampipes-sdk:0.67.0,1,190,784,0
136,ca.uhn.hapi.fhir:org.hl7.fhir.dstu2016may:5.2.0,1,25240,40734,0
137,org.apache.tomcat.embed:tomcat-embed-el:9.0.30,1,0,0,0
138,org.apache.tomcat.embed:tomcat-embed-el:9.0.31,1,977,1168,0
139,org.springframework:spring-context-support:5.1.9.RELEASE,1,0,0,0
140,org.uberfire:uberfire-ssh-api:7.43.0.Final,1,30,29,0
141,com.amazonaws:aws-java-sdk-fms:1.11.438,1,0,0,0
142,org.glassfish.main.common:annotation-framework:6.0.0-RC3,1,69,172,0
143,org.apache.shiro:shiro-crypto-cipher:1.5.3,1,49,94,0
144,org.apereo.cas:cas-server-core-util:5.2.2,1,285,680,0
145,org.openscience.cdk:cdk-sdg:1.5.14,1,607,300,0
146,io.inugami:inugami_core:2.0.0,1,590,1841,0
147,com.twelvemonkeys.imageio:imageio-jpeg:3.2.1,1,0,0,0
148,org.apache.knox:gateway-i18n:1.5.0,1,64,80,0
149,org.scala-lang:scala3-library_sjs1_3.0.0-M2:3.0.0-M2,1,0,0,0
150,org.apache.tomcat.embed:tomcat-embed-el:9.0.24,1,0,0,0
151,com.monovore:decline-enumeratum_2.12:1.0.0,1,38,24,0
152,org.apache.tomcat.embed:tomcat-embed-el:9.0.27,1,690,1168,0
153,io.dropwizard:dropwizard-core:0.7.1,1,53,167,0
154,com.17jee:e-cloud-gateway:3.0.1.10,1,2818,44,0
155,org.seleniumhq.selenium:selenium-api:2.28.0,1,187,932,0
156,org.apache.tomcat.embed:tomcat-embed-el:9.0.29,1,875,1168,0
157,com.twitter:util-app-lifecycle_2.13:20.10.0,1,52,240,0
158,org.apache.cayenne:cayenne-server:4.0.2,1,7149,11100,0
159,org.basepom.maven:dependency-versions-check-maven-plugin:3.0.0,1,4198,469,0
160,org.eclipse.tycho:org.eclipse.tycho.p2.tools.shared:2.2.0,1,73,100,0
161,io.grpc:grpc-protobuf-lite:1.9.0,1,35,32,0
162,org.eclipse.jetty:apache-jsp:9.2.14.v20151106,1,0,0,0
163,org.eclipse.tycho:tycho-embedder-api:2.2.0,1,24,27,0
164,org.pac4j:pac4j-oidc:1.9.7,1,73,225,0
165,javax.enterprise:cdi-api:2.0,1,202,607,0
166,org.cloudfoundry.multiapps:multiapps-common-test:2.5.1,1,3058,53,0
167,io.netty:netty-transport:4.1.53.Final,1,868,3574,0
168,com.guicedee:guiced-log-master:1.1.0.7-jre14,1,20,0,0
169,javax.cache:cache-api:0.5,1,31,226,0
170,org.springframework:spring-jms:4.3.25.RELEASE,1,404,1261,0
171,org.netbeans.api:org-netbeans-modules-el-lexer:RELEASE123,1,42,31,0
172,org.digidoc4j.dss:dss-common-remote-converter:5.7.d4j.2,1,36,21,0
173,org.apache.qpid:qpid-amqp-1-0-client-jms:0.32,1,974,1052,0
174,io.grpc:grpc-stub:1.24.0,1,78,168,0
175,org.opensaml:opensaml-saml-impl:4.0.1,1,1098,4204,0
176,org.sonatype.aether:aether-impl:1.13.1,1,270,477,0
177,io.grpc:grpc-stub:1.24.2,1,47,168,0
178,org.apache.spark:spark-core_2.11:2.4.7,1,27646,57789,0
179,org.pegdown:pegdown:1.6.0,1,265,500,0
180,ai.h2o:h2o-security:3.30.1.3,1,42,15,0
181,io.netty:netty-handler:4.1.60.Final,1,1332,2415,0
182,org.ejml:ejml-cdense:0.40,1,890,342,0
183,org.eclipse.core:org.eclipse.core.runtime:3.7.0,1,145,403,0
184,org.kie:kie-dmn-model:7.49.0.Final,1,224,1410,0
185,org.glassfish.jaxb:txw2:2.3.3-b02,1,182,474,0
186,org.apache.camel.quarkus:camel-quarkus-smpp-integration-test:1.3.0,1,2891,4,0
187,org.kie.soup:kie-soup-commons:7.47.0.Final,1,0,0,0
188,com.amazonaws:jmespath-java:1.11.497,1,42,127,0
189,edu.utexas.tacc.tapis:meta-client:1.11.16,1,0,0,0
190,org.apereo.cas:cas-server-core-services-registry:6.2.6,1,210,614,0
191,org.apache-extras.beanshell:bsh:2.0b6,1,1313,1763,0
192,network.oxalis.vefa:peppol-mode:2.0.0.RC1,1,39,11,0
193,software.amazon.awssdk:metrics-spi:2.15.19,1,61,119,0
194,org.netbeans.api:org-netbeans-spi-editor-hints:RELEASE123,1,234,444,0
195,org.apache.commons:commons-dbcp2:2.7.0,1,579,1682,0
196,org.eclipse.emf:org.eclipse.emf.mwe.utils:1.6.2-SNAPSHOT,1,0,0,0
197,com.google.code.gson:gson:2.6.1,1,474,988,0
198,com.google.code.gson:gson:2.6.2,1,495,988,0
199,org.opendaylight.mdsal:mdsal-dom-api:6.0.7,1,52,197,0
200,org.opendaylight.bgpcep:pcep-api:0.14.3,1,4090,4191,0
201,io.quarkus:quarkus-core:1.11.0.Beta2,1,2088,877,0
202,org.netbeans.api:org-netbeans-spi-editor-hints:RELEASE121,1,228,444,0
203,org.opendaylight.mdsal:mdsal-dom-api:6.0.8,1,109,263,0
204,org.onosproject:onos-core-common:1.8.2,1,673,901,0
205,org.netbeans.api:org-netbeans-spi-editor-hints:RELEASE122,1,215,444,0
206,net.bytebuddy:byte-buddy:1.6.14,1,0,0,0
207,rhino:js:1.7R2,1,12565,4038,0
208,org.netbeans.modules:org-netbeans-modules-extbrowser:RELEASE121,1,518,266,0
209,org.netbeans.modules:org-netbeans-modules-extbrowser:RELEASE123,1,134,266,0
210,org.springframework.boot:spring-boot-devtools:1.4.2.RELEASE,1,179,672,0
211,org.apache.logging.log4j:log4j-api:2.8.2,1,532,2086,0
212,org.glassfish.jersey.ext:jersey-entity-filtering:2.21.1,1,53,242,0
213,com.github.jnr:jnr-ffi:2.0.7,1,1007,3150,0
214,com.papertrail:profiler:1.0.2,1,45,25,0
215,com.esotericsoftware.minlog:minlog:1.2,1,0,0,0
216,org.apache.plc4x:plc4j-connection-pool:0.8.0,1,29,54,0
217,io.netty:netty-codec:4.1.31.Final,1,1049,1669,0
218,com.softwaremill.sttp.tapir:tapir-core_2.12:0.17.0-M3,1,1963,8511,0
219,org.apache.maven:maven-settings-builder:3.6.2,1,98,148,0
220,io.fabric8:openshift-model-operatorhub:5.1.1,1,1306,7758,0
221,org.apache.maven:maven-settings-builder:3.6.1,1,65,148,0
222,org.apache.logging.log4j:log4j-api:2.8.1,1,537,2081,0
223,org.apache.maven:maven-settings-builder:3.6.3,1,54,148,0
224,com.vladsch.flexmark:flexmark-ext-xwiki-macros:0.50.40,1,51,130,0
225,com.netflix.spectator:spectator-api:0.116.0,1,1957,1636,0
226,org.apache.kerby:kerb-core:2.0.0,1,592,1320,0
227,io.quarkus:quarkus-container-image-deployment:1.7.2.Final,1,32,23,0
228,org.apache.sling:org.apache.sling.jcr.contentparser:1.2.6,1,52,75,0
229,org.jkee.gtree:gtree:0.2,1,3438,57,0
230,com.twitter:util-registry_2.11:20.9.0,1,108,216,0
231,org.apache.directory.server:apacheds-i18n:2.0.0-M15,1,107,7,0
232,io.helidon.security.abac:helidon-security-abac-scope:1.4.8,1,24,58,0
233,com.ibm.icu:icu4j:58.2,1,10009,10500,0
234,org.wso2.carbon.mediation:org.wso2.carbon.das.data.publisher.util:4.7.85,1,3147,14,0
235,org.bdgenomics.adam:adam-codegen-spark2_2.12:0.33.0,1,0,0,0
236,org.apache.orc:orc-core:1.3.4,1,0,0,0
237,software.amazon.awssdk:metrics-spi:2.15.39,1,51,119,0
238,com.introproventures:graphql-jpa-query-web:0.4.16,1,122,52,0
239,com.vladsch.flexmark:flexmark-ext-gfm-issues:0.50.40,1,24,56,0
240,org.apache.tomcat:tomcat-tribes:9.0.31,1,1106,1871,0
241,com.soywiz.korlibs.korio:korio-js:2.0.10,1,22,0,0
242,com.bazaarvoice.emodb:emodb-common-astyanax:6.3.1,1,101,423,0
243,org.apache.activemq:artemis-core-client:2.6.2,1,1126,5475,0
244,io.quarkus:quarkus-devtools-utilities:1.11.6.Final,1,19,9,0
245,org.scala-lang.modules:scala-java8-compat_2.13:0.9.1,1,1220,4355,0
246,org.scala-lang.modules:scala-java8-compat_2.13:0.9.0,1,806,4370,0
247,cn.hutool:hutool-all:4.5.14,1,0,0,0
248,org.apache.maven.scm:maven-scm-client:1.7,1,27,8,0
249,org.apache.maven:maven-embedder:3.6.3,1,260,325,0
250,io.projectreactor.netty:reactor-netty-http:1.0.0,1,406,1684,0
251,com.github.noconnor:junitperf-core:1.17.0,1,388,235,0
252,org.apache.httpcomponents.core5:httpcore5-h2:5.0.2,1,387,961,0
253,com.andretietz.houston:houston:1.0.1,1,0,0,0
254,org.apache.pdfbox:fontbox:1.8.8,1,886,1171,0
255,org.apache.httpcomponents.core5:httpcore5-h2:5.0.1,1,416,961,0
256,software.amazon.awssdk:metrics-spi:2.15.45,1,60,119,0
257,software.amazon.awssdk:metrics-spi:2.15.43,1,32,119,0
258,software.amazon.awssdk:metrics-spi:2.15.40,1,51,119,0
259,org.jetbrains:annotations:15.0,1,23,29,0
260,org.apache.zookeeper:zookeeper:3.4.10,1,2614,3734,0
261,org.springframework.social:spring-social-config:1.1.6.RELEASE,1,58,75,0
262,org.uberfire:uberfire-widgets-core-client:7.47.0.Final,1,0,0,0
263,io.quarkus:quarkus-core:1.12.2.Final,1,279,892,0
264,org.wso2.orbit.org.apache.tomcat:tomcat:9.0.22.wso2v1,1,0,0,0
265,com.github.jnr:jnr-ffi:2.0.3,1,1243,3149,0
266,org.springframework.boot:spring-boot-starter-data-redis:2.2.5.RELEASE,1,33,0,0
267,org.apache.zookeeper:zookeeper:3.4.14,1,4086,3844,0
268,org.springframework:spring-core:5.2.9.RELEASE,1,0,0,0
269,org.apache.zookeeper:zookeeper:3.4.13,1,3040,3832,0
270,org.netbeans.api:org-netbeans-modules-javahelp:RELEASE123,1,231,241,0
271,org.netbeans.api:org-netbeans-modules-javahelp:RELEASE121,1,250,241,0
272,org.jgroups:jgroups:3.6.20.Final,1,6906,10773,0
273,software.amazon.awssdk:metrics-spi:2.15.35,1,41,119,0
274,io.quarkus:quarkus-agroal-deployment:1.10.5.Final,1,14,27,0
275,org.apache.tomcat:tomcat-tribes:9.0.34,1,835,1871,0
276,software.amazon.awssdk:metrics-spi:2.15.34,1,59,119,0
277,software.amazon.awssdk:metrics-spi:2.15.31,1,76,119,0
278,org.kie.workbench.stunner:kie-wb-common-stunner-svg-client:7.51.0.Final,1,3286,230,0
279,org.glassfish.jersey.inject:jersey-hk2:2.28,1,125,325,0
280,software.amazon.awssdk:metrics-spi:2.15.32,1,40,119,0
281,org.glassfish.jersey.inject:jersey-hk2:2.27,1,86,322,0
282,org.glassfish.jersey.inject:jersey-hk2:2.26,1,150,322,0
283,org.uberfire:uberfire-backend-cdi:7.45.0.Final,1,56,249,0
284,org.uberfire:uberfire-client-backend:7.51.0.Final,1,11,0,0
285,com.amazonaws:aws-java-sdk-elasticsearch:1.11.438,1,0,0,0
286,org.apache.parquet:parquet-jackson:1.10.1,1,0,0,0
287,com.google.oauth-client:google-oauth-client:1.26.0,1,117,485,0
288,org.apache.logging.log4j:log4j-to-slf4j:2.10.0,1,44,51,0
289,org.springframework.boot:spring-boot-starter-logging:2.1.13.RELEASE,1,31,0,0
290,org.n52.sensorweb:52n-xml-gml-v311:2.7.0,1,11339,45629,0
291,co.cask.tracker:tracker:0.2.0,1,0,0,0
292,org.springframework:spring-core:5.0.4.RELEASE,1,3339,6308,0
293,org.apache.lucene:lucene-queries:6.6.1,1,339,1089,0
294,org.apache.camel:camel-file:3.5.0,1,566,793,0
295,org.caffinitas.ohc:ohc-core:0.4.4,1,0,0,0
296,org.scalactic:scalactic_native0.4.0-M2_2.11:3.3.0-SNAP3,1,2695,18158,0
297,org.webjars.npm:is-boolean-object:1.1.1,1,11,0,0
298,net.luohuasheng.framework.components:basic-framework-components-core:1.1.0,1,375,511,0
299,jakarta.ejb:jakarta.ejb-api:4.0.0,1,0,0,0
300,io.dropwizard.metrics:metrics-jetty9:4.1.14,1,49,117,0
301,com.daml:ledger-api-domain_2.13:1.11.0-snapshot.20210224.6385.0.dba114a2,1,212,1076,0
302,com.twitter:util-stats_2.11:20.9.0,1,241,1366,0
303,org.apache.bookkeeper:stream-storage-common:4.10.0,1,207,297,0
304,org.eclipse.rdf4j:rdf4j-rio-api:3.6.1,1,287,497,0
305,org.springframework:spring-oxm:5.1.11.RELEASE,1,157,361,0
306,org.junit.platform:junit-platform-engine:1.3.1,1,292,999,0
307,org.apache.shardingsphere.elasticjob:elasticjob-tracing-api:3.0.0-beta,1,38,63,0
308,io.dropwizard:dropwizard-validation:2.0.8,1,0,0,0
309,org.apache.maven:maven-model-builder:3.6.3,1,325,773,0
310,org.apache.tomcat:tomcat-tribes:9.0.22,1,1043,1875,0
311,io.monix:implicitbox_sjs0.6_2.13:0.2.0,1,63,180,0
312,io.ebean:ebean-migration-auto:1.0,1,34,4,0
313,org.scala-lang.modules:scala-collection-compat_2.11:2.1.2,1,114,649,0
314,org.apache.maven:maven-model-builder:3.6.1,1,298,718,0
315,org.apache.maven:maven-model-builder:3.6.2,1,529,773,0
316,software.amazon.awssdk:metrics-spi:2.15.49,1,35,119,0
317,com.lightbend.play:play-file-watch_2.10:1.1.14,1,98,242,0
318,org.tpolecat:natchez-core_2.12:0.0.14-M3,1,82,259,0
319,org.refcodes:refcodes-cli-ext-archetype:2.1.0,1,2404,0,0
320,software.amazon.awssdk:metrics-spi:2.15.50,1,55,119,0
321,org.http4s:http4s-circe_2.13:0.21.8,1,0,0,0
322,org.springframework.retry:spring-retry:1.2.4.RELEASE,1,411,570,0
323,it.geosolutions.jaiext.nullop:jt-nullop:1.1.1,1,0,0,0
324,org.joda:joda-convert:1.9.2,1,155,399,0
325,com.squareup.okhttp:okhttp:1.2.1,1,572,832,0
326,org.eclipse.dirigible:dirigible-commons-config:5.8.4,1,212,68,0
327,it.geosolutions.jaiext.nullop:jt-nullop:1.1.9,1,0,0,0
328,com.amazonaws:aws-java-sdk-securityhub:1.11.870,1,8769,7452,0
329,org.netbeans.modules:org-netbeans-modules-debugger-jpda:RELEASE122,1,5178,2898,0
330,com.ejlchina:jsonkit-gson:1.0.0,1,3045,2,0
331,org.apache.hadoop:hadoop-yarn-server-common:3.2.2,1,6171,10796,0
332,io.helidon.security.providers:helidon-security-providers-abac:1.4.8,1,35,88,0
333,org.apache.hadoop:hadoop-common:2.2.0,1,0,0,0
334,com.vlkan:flatbuffers:1.2.0-3f79e055,1,33,63,0
335,org.springframework.boot:spring-boot-starter-json:2.1.7.RELEASE,1,25,0,0
336,com.aoindustries:ao-tempfiles:2.0.0,1,37,35,0
337,org.digidoc4j.dss:dss-policy-jaxb:5.7.d4j.2,1,99,510,0
338,org.drools:drools-ecj:7.50.0.Final,1,16046,10859,0
339,io.opencensus:opencensus-contrib-grpc-metrics:0.24.0,1,57,26,0
340,org.apereo.cas:cas-server-core-api-validation:5.3.16,1,19,11,0
341,org.apache.camel:camel-file:3.4.4,1,396,793,0
342,org.geotools:gt-metadata:21.1,1,0,0,0
343,red.zyc.toolkit:kit-mybatis:1.0.1,1,2985,39,0
344,org.apache.shiro:shiro-event:1.4.0,1,33,40,0
345,io.netty:netty-transport-native-unix-common:4.1.60.Final,1,93,278,0
346,org.apache.shiro:shiro-event:1.4.2,1,28,40,0
347,org.apache.lucene:lucene-queryparser:8.6.1,1,1186,1448,0
348,org.springframework.security:spring-security-jwt:1.0.9.RELEASE,1,87,121,0
349,org.apache.dubbo:dubbo-spring-boot-autoconfigure-compatible:2.7.4.1,1,60,142,0
350,com.daml:daml-lf-validation_2.12:1.6.0-snapshot.20201007.5314.0.b4a47d0b,1,0,0,0
351,org.springframework.boot:spring-boot-actuator-autoconfigure:2.2.7.RELEASE,1,635,3001,0
352,org.apache.camel.k:camel-kamelet-reify:1.6.0,1,27,36,0
353,io.micrometer:micrometer-registry-wavefront:1.2.1,1,75,159,0
354,com.lihaoyi:mill-main-core_2.13:0.9.5-46-c500ca,1,1222,4714,0
355,com.sun.xml.bind:jaxb-impl:2.2.4-1,1,2049,4666,0
356,org.apache.hadoop:hadoop-yarn-client:2.2.0,1,0,0,0
357,software.amazon.awssdk:http-client-spi:2.10.36,1,89,494,0
358,org.apache.lucene:lucene-queryparser:8.6.2,1,1021,1448,0
359,org.xerial.snappy:snappy-java:1.1.1.3,1,143,228,0
360,org.hibernate.validator:hibernate-validator:6.0.17.Final,1,0,0,0
361,org.apache.shiro:shiro-web:1.2.3,1,266,732,0
362,org.apache.httpcomponents:httpmime:4.1.2,1,51,117,0
363,org.xerial.snappy:snappy-java:1.1.1.7,1,143,235,0
364,com.amazonaws:jmespath-java:1.11.538,1,62,127,0
365,org.eclipse.jetty:jetty-server:9.2.3.v20140905,1,2034,2188,0
366,org.mapdb:mapdb:1.0.8,1,1820,1954,0
367,com.amazonaws:jmespath-java:1.11.532,1,0,0,0
368,org.eclipse.ditto:ditto-signals-commands-thingsearch:1.2.0,1,3850,431,0
369,net.luohuasheng.framework.components:basic-framework-components-dbinfo:1.1.0,1,72,160,0
370,org.springframework.security:spring-security-crypto:5.3.3.RELEASE,1,242,262,0
371,io.fogsy:empire-core:1.9.13,1,433,857,0
372,io.smallrye.reactive:smallrye-axle-generator:1.3.0,1,200,288,0
373,org.eclipse.jetty:jetty-io:9.4.35.v20201120,1,369,950,0
374,net.guerlab.smart.wx:smart-wx-core:20.2.2,1,442,367,0
375,com.google.api-client:google-api-client:1.22.0,1,0,0,0
376,org.typelevel:jawn-parser_2.12:1.0.0,1,177,621,0
377,org.netbeans.modules:org-netbeans-modules-dbschema:RELEASE121,1,633,1260,0
378,com.amazonaws:aws-java-sdk-serverlessapplicationrepository:1.11.438,1,0,0,0
