number,coordinate,opalTime,totalMergeTime,cgPool,mergeTime,UCHTime,opalNodes,opalEdges,mergeNodes,mergeEdges,dependencies
10,org.zalando:opentracing-spring-web-extension:4.0.0,0,14684,14302,382,215,0,0,17357,70168,org.springframework:spring-beans:5.3.3;io.opentracing.contrib:opentracing-web-servlet-filter:0.4.0;org.springframework:spring-web:5.3.3;org.zalando:faux-pas:0.9.0;org.slf4j:slf4j-api:1.7.30;org.zalando:opentracing-spring-web-extension:4.0.0;org.springframework:spring-aop:5.3.3;io.opentracing:opentracing-noop:0.33.0;org.springframework:spring-core:5.3.3;org.springframework:spring-expression:5.3.3;org.apiguardian:apiguardian-api:1.1.1;org.springframework:spring-webmvc:5.3.3;org.springframework:spring-context:5.3.3;io.opentracing.contrib:opentracing-spring-web:4.1.0;com.google.code.findbugs:jsr305:3.0.2;org.springframework:spring-jcl:5.3.3;io.opentracing:opentracing-util:0.33.0;io.opentracing:opentracing-api:0.33.0
11,io.swagger.parser.v3:swagger-parser-v3:2.0.24,0,15369,14885,484,171,0,0,17371,88448,io.swagger.core.v3:swagger-models:2.1.5;com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.11.1;io.swagger.core.v3:swagger-core:2.1.5;jakarta.activation:jakarta.activation-api:1.2.1;io.swagger.core.v3:swagger-annotations:2.1.5;jakarta.validation:jakarta.validation-api:2.0.2;org.apache.commons:commons-lang3:3.7;com.fasterxml.jackson.core:jackson-annotations:2.11.1;com.fasterxml.jackson.core:jackson-databind:2.11.1;io.swagger.parser.v3:swagger-parser-v3:2.0.24;commons-io:commons-io:2.6;io.swagger.parser.v3:swagger-parser-core:2.0.24;com.fasterxml.jackson.core:jackson-core:2.11.1;jakarta.xml.bind:jakarta.xml.bind-api:2.3.2;org.slf4j:slf4j-api:1.7.25;com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.1;org.yaml:snakeyaml:1.26
12,io.github.dsc-finance-open:yama-open-sdk:1.0.5,2294,11380,11234,146,68,4414,17084,4074,15529,com.squareup.okhttp3:okhttp:3.10.0;com.squareup.okio:okio:1.14.0;io.github.dsc-finance-open:yama-open-sdk:1.0.5;com.alibaba:fastjson:1.2.69
13,com.aliyun:cloudauth20200618:1.0.2,0,14576,14176,400,161,0,0,12040,42695,com.aliyun:tea-rpc:0.1.2;com.aliyun:oss-client:3.0.2;com.aliyun:tea-rpc-util:0.1.2;javax.xml.bind:jaxb-api:2.3.0;com.aliyun:tea-xml:0.1.1;com.aliyun:tea-fileform:0.0.3;com.google.code.gson:gson:2.8.5;com.aliyun:tea:1.1.13;com.aliyun:credentials-java:0.2.5;org.ini4j:ini4j:0.5.4;com.aliyun:cloudauth20200618:1.0.2;com.aliyun:openplatform20191219:3.0.2;xml-apis:xml-apis:1.0.b2;dom4j:dom4j:1.6.1;com.aliyun:tea-util:0.2.9;com.sun.xml.bind:jaxb-core:2.3.0;com.sun.xml.bind:jaxb-impl:2.3.0;com.aliyun:endpoint-util:0.0.6;com.aliyun:oss-util:1.0.0;org.jacoco:org.jacoco.agent:0.8.4;com.squareup.okio:okio:1.15.0;com.squareup.okhttp3:okhttp:3.12.13
14,io.joynr.java.messaging.websocket:joynr-websocket-common:1.15.2,3384,12326,11978,348,164,14080,81344,13815,71161,com.google.inject:guice:3.0;org.eclipse.jetty.websocket:websocket-api:9.2.13.v20150730;io.joynr.java.common:guice-integration:1.15.2;javax.inject:javax.inject:1;aopalliance:aopalliance:1.0;io.joynr.smrf.java:smrf-api:0.3.3;com.fasterxml.jackson.core:jackson-annotations:2.10.2;com.fasterxml.jackson.core:jackson-databind:2.10.2;io.joynr.java.messaging:messaging-common:1.15.2;io.joynr.java.messaging.websocket:joynr-websocket-common:1.15.2;com.fasterxml.jackson.core:jackson-core:2.10.2;io.joynr.smrf.java:smrf:0.3.3;org.slf4j:slf4j-api:1.7.25;com.google.flatbuffers:flatbuffers-java:1.10.0;io.joynr.java:javaapi:1.15.2;com.google.inject.extensions:guice-multibindings:3.0
15,net.sf.jeceira:jeceira:0.1.4,4252,12182,11726,456,246,16518,132239,15961,119792,commons-lang:commons-lang:2.0;xerces:xercesImpl:2.6.2;xerces:xmlParserAPIs:2.6.2;org.safehaus.jug:jug:2.0.0;com.aparzev:doka:0.1;com.aparzev:commons:0.2;log4j:log4j:1.2.9;commons-collections:commons-collections:3.1;net.sf.jeceira:jeceira:0.1.4
16,net.sourceforge.jbizmo:jbizmo-commons-jsf:5.0.0,0,11626,11391,235,162,0,0,14093,22701,org.primefaces:primefaces:7.0;net.sourceforge.jbizmo:jbizmo-commons-jsf:5.0.0;jakarta.activation:jakarta.activation-api:1.2.1;jakarta.xml.bind:jakarta.xml.bind-api:2.3.2;org.slf4j:slf4j-api:1.7.25;net.sourceforge.jbizmo:jbizmo-commons:5.0.0
17,org.eclipse.dirigible:dirigible-database:5.6.0,0,66908,62210,4698,998,0,0,93198,1174062,org.apache.commons:commons-dbcp2:2.2.0;com.google.inject.extensions:guice-persist:4.2.2;javax.xml.ws:jaxws-api:2.3.0;javax.xml.bind:jaxb-api:2.3.0;javax.inject:javax.inject:1;javax.activation:activation:1.1;org.javassist:javassist:3.21.0-GA;org.apache.geronimo.specs:geronimo-jta_1.1_spec:1.1.1;commons-logging:commons-logging:1.2;javax.annotation:jsr250-api:1.0;org.eclipse.dirigible:dirigible-database:5.6.0;com.sun.xml.bind:jaxb-core:2.3.0;com.sun.xml.bind:jaxb-impl:2.3.0;com.fasterxml.jackson.core:jackson-core:2.9.10;org.eclipse.dirigible:dirigible-database-dynamic:5.6.0;io.swagger:swagger-jaxrs:1.5.24;jakarta.jws:jakarta.jws-api:2.1.0;jakarta.xml.ws:jakarta.xml.ws-api:2.3.3;org.apache.httpcomponents:httpcore:4.4.6;org.eclipse.dirigible:dirigible-database-api:5.6.0;org.apache.commons:commons-lang3:3.9;aopalliance:aopalliance:1.0;com.fasterxml.jackson.core:jackson-databind:2.9.10;com.sun.xml.fastinfoset:FastInfoset:1.2.16;jakarta.xml.soap:jakarta.xml.soap-api:1.4.2;org.quartz-scheduler:quartz:2.3.2;jakarta.activation:jakarta.activation-api:1.2.2;org.eclipse.persistence:jakarta.persistence:2.2.2;commons-io:commons-io:2.6;org.apache.cxf:cxf-rt-rs-service-description-common-openapi:3.3.4;org.apache.cxf:cxf-core:3.3.4;org.eclipse.dirigible:dirigible-database-persistence:5.6.0;org.apache.cxf:cxf-rt-frontend-jaxrs:3.3.4;com.sun.xml.messaging.saaj:saaj-impl:1.4.0-b03;commons-codec:commons-codec:1.10;org.eclipse.dirigible:dirigible-database-sql:5.6.0;org.codehaus.mojo:animal-sniffer-annotations:1.14;com.mchange:c3p0:0.9.5.4;org.slf4j:slf4j-api:1.7.7;com.google.j2objc:j2objc-annotations:1.1;com.google.inject:guice:4.2.2;org.apache.commons:commons-pool2:2.5.0;io.swagger:swagger-models:1.5.24;com.google.guava:guava:25.1-android;com.fasterxml.jackson.core:jackson-annotations:2.9.10;org.apache.httpcomponents:httpmime:4.5.3;org.jacorb:jacorb-omgapi:3.7;org.apache.cxf:cxf-rt-rs-service-description-swagger:3.3.4;org.checkerframework:checker-compat-qual:2.0.0;com.google.inject.extensions:guice-servlet:4.2.2;com.google.code.gson:gson:2.2.4;javax.xml.soap:javax.xml.soap-api:1.4.0;javax.annotation:javax.annotation-api:1.3.2;org.apache.cxf:cxf-rt-security:3.3.4;org.eclipse.dirigible:dirigible-database-data-models:5.6.0;jakarta.ws.rs:jakarta.ws.rs-api:2.1.5;org.apache.cxf:cxf-rt-rs-service-description-swagger-ui:3.3.4;org.eclipse.dirigible:dirigible-core-scheduler:5.6.0;org.reflections:reflections:0.9.11;org.apache.httpcomponents:httpclient:4.5.3;com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.9.10;org.yaml:snakeyaml:1.23;org.eclipse.dirigible:dirigible-commons-xml2json:5.6.0;com.zaxxer:HikariCP-java7:2.4.13;org.codehaus.woodstox:stax2-api:3.1.4;io.swagger:swagger-core:1.5.24;org.eclipse.dirigible:dirigible-repository-api:5.6.0;com.mchange:mchange-commons-java:0.2.15;io.swagger:swagger-annotations:1.5.24;com.google.errorprone:error_prone_annotations:2.1.3;org.eclipse.dirigible:dirigible-commons-api:5.6.0;org.apache.geronimo.specs:geronimo-ws-metadata_2.0_spec:1.1.3;org.eclipse.dirigible:dirigible-commons-config:5.6.0;org.glassfish.jaxb:txw2:2.3.2;commons-fileupload:commons-fileupload:1.3.3;com.fasterxml.woodstox:woodstox-core:5.0.3;org.eclipse.dirigible:dirigible-api-facade-http:5.6.0;org.jboss.spec.javax.rmi:jboss-rmi-api_1.0_spec:1.0.6.Final;org.eclipse.dirigible:dirigible-engine-api:5.6.0;org.apache.cxf:cxf-rt-transports-http:3.3.4;com.sun.activation:javax.activation:1.2.0;org.jvnet.mimepull:mimepull:1.9.7;org.jvnet.staxex:stax-ex:1.7.8;jakarta.xml.bind:jakarta.xml.bind-api:2.3.3;com.google.code.findbugs:jsr305:3.0.2;javax.validation:validation-api:1.1.0.Final;org.glassfish.jaxb:jaxb-runtime:2.3.2;org.apache.ws.xmlschema:xmlschema-core:2.2.4;org.eclipse.dirigible:dirigible-api-facade-security:5.6.0;org.eclipse.dirigible:dirigible-database-data-structures:5.6.0;com.sun.istack:istack-commons-runtime:3.0.8
18,com.avast.clients.rabbitmq:rabbitmq-client-extras-protobuf_2.13:8.5.0,0,122031,87775,34256,2807,0,0,264286,10499689,org.scodec:scodec-bits_2.13:1.1.24;com.typesafe.scala-logging:scala-logging_2.13:3.9.2;org.typelevel:cats-core_2.13:2.4.2;com.google.guava:guava:30.0-android;com.google.code.gson:gson:2.8.6;com.avast.bytes:bytes-gpb:2.2.0;org.checkerframework:checker-compat-qual:2.5.5;com.google.protobuf:protobuf-java-util:3.15.6;org.scala-lang:scala-library:2.13.4;org.typelevel:cats-kernel_2.13:2.4.2;com.avast.clients.rabbitmq:rabbitmq-client-extras-protobuf_2.13:8.5.0;org.scala-lang.modules:scala-collection-compat_2.13:2.4.2;com.avast.clients.rabbitmq:rabbitmq-client-core_2.13:8.5.0;co.fs2:fs2-core_2.13:2.5.3;com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava;com.avast.bytes:bytes-core:2.2.0;org.xbib:jsr-305:1.0.0;com.avast.clients.rabbitmq:rabbitmq-client-api_2.13:8.5.0;com.avast.metrics:metrics-api:2.8.5;org.scala-lang:scala-reflect:2.13.0;com.avast.metrics:metrics-scala_2.13:2.8.5;com.google.errorprone:error_prone_annotations:2.3.4;org.typelevel:simulacrum-scalafix-annotations_2.13:0.5.4;org.typelevel:cats-effect_2.13:2.3.3;com.google.j2objc:j2objc-annotations:1.3;com.rabbitmq:amqp-client:5.11.0;com.google.protobuf:protobuf-java:3.15.6;org.slf4j:slf4j-api:1.7.26;com.google.code.findbugs:jsr305:3.0.2;com.google.guava:failureaccess:1.0.1
19,com.softwaremill.sttp.tapir:tapir-json-circe_2.13:0.17.9,0,77470,56563,20907,1865,0,0,185040,6482592,com.propensive:mercator_2.13:0.2.1;org.typelevel:jawn-parser_2.13:1.0.0;org.typelevel:cats-kernel_2.13:2.1.0;io.circe:circe-parser_2.13:0.13.0;com.softwaremill.sttp.model:core_2.13:1.3.1;org.typelevel:cats-core_2.13:2.1.0;com.softwaremill.sttp.shared:core_2.13:1.1.0;io.circe:circe-jawn_2.13:0.13.0;io.circe:circe-core_2.13:0.13.0;org.scala-lang:scala-library:2.13.4;com.softwaremill.sttp.tapir:tapir-json-circe_2.13:0.17.9;org.typelevel:cats-macros_2.13:2.1.0;io.circe:circe-numbers_2.13:0.13.0;org.scala-lang:scala-reflect:2.13.4;com.softwaremill.sttp.shared:ws_2.13:1.1.0;com.softwaremill.sttp.tapir:tapir-core_2.13:0.17.9;com.propensive:magnolia_2.13:0.17.0
20,tech.rsqn.useful-things:embedded-jetty:1.0.53,3371,11991,11606,385,188,14849,54906,14589,50049,org.apache.logging.log4j:log4j-core:2.12.1;org.apache.logging.log4j:log4j-slf4j-impl:2.12.1;javax.servlet:javax.servlet-api:3.1.0;tech.rsqn.useful-things:embedded-jetty:1.0.53;org.apache.logging.log4j:log4j-api:2.12.1;org.eclipse.jetty:jetty-http:9.4.17.v20190418;org.eclipse.jetty:jetty-util:9.4.17.v20190418;org.slf4j:slf4j-api:1.7.25;org.eclipse.jetty:jetty-io:9.4.17.v20190418;org.eclipse.jetty:jetty-server:9.4.17.v20190418
21,io.indigoengine:indigo-extras_sjs1_3.0.0-M3:0.6.0,0,23141,23141,0,1011,0,0,0,0,org.scala-lang:scala3-library_sjs1_3.0.0-M3:3.0.0-M3;io.indigoengine:indigo-extras_sjs1_3.0.0-M3:0.6.0;io.indigoengine:indigo-shared_sjs1_3.0.0-M3:0.6.0;org.scala-lang:scala-library:2.13.4;org.scala-js:scalajs-library_2.13:1.3.1
