number,coordinate,occurrence,isolatedRevisionTime,internalNodes,externalNodes,internalEdges,externalEdges
112,org.apache.httpcomponents:httpclient:4.5.2,1,542,3006,1056,4709,5364
113,com.thoughtworks.xstream:xstream:1.4.3,1,363,2431,812,6996,3510
114,com.google.code.findbugs:jsr305:3.0.2,1,17,30,12,5,16
115,com.fasterxml.jackson.core:jackson-databind:2.8.10,1,1576,7170,975,26722,7043
116,org.hibernate:hibernate-core:4.3.11.Final,1,4807,30569,2568,120811,32285
117,org.sonatype.aether:aether-api:1.7,1,181,575,68,328,455
118,org.checkerframework:checker-qual:2.5.2,1,65,314,129,87,237
119,org.jresearch.commons.base:org.jresearch.commons.base.domain:1.0.42,1,37,272,80,172,212
120,xpp3:xpp3_min:1.1.4c,1,72,122,31,169,197
121,org.hibernate.common:hibernate-commons-annotations:4.0.5.Final,1,63,463,150,549,482
122,org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec:1.0.0.Final,1,16,74,8,1,27
123,com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7,2,86,272,160,411,415
124,org.springframework:spring-tx:2.5.6,1,137,1023,376,1241,1532
125,com.fasterxml.jackson.core:jackson-core:2.1.3,1,221,1383,213,2561,1050
126,org.springframework:spring-context-support:2.5.6,1,78,530,394,314,914
127,commons-codec:commons-codec:1.11,1,207,804,214,998,1135
128,com.newrelic.agent.android:agent-gradle-plugin:5.6.1,1,3130,400,127,116,463
129,org.springframework:spring-tx:4.2.5.RELEASE,1,135,1108,415,1277,1502
130,commons-beanutils:commons-beanutils:1.8.3,1,290,1357,376,3324,2606
131,org.sonatype.aether:aether-impl:1.7,1,140,394,493,477,1321
132,com.amazonaws:aws-java-sdk-kms:1.11.202,1,340,2170,127,2708,3352
133,org.tinygroup:org.tinygroup.logger:2.0.6,1,26,110,69,97,109
134,org.springframework:spring-context:2.5.6,1,446,2224,1037,2156,3894
135,org.apache.maven:maven-repository-metadata:3.0,1,57,110,65,140,219
136,com.google.oauth-client:google-oauth-client:1.23.0,1,56,469,171,353,374
137,com.fasterxml.jackson.core:jackson-core:2.8.10,1,394,2014,233,4508,1299
138,xml-apis:xml-apis:1.0.b2,1,84,1665,85,430,388
139,org.tinygroup:org.tinygroup.exception:2.0.6,1,27,159,48,102,141
140,com.amazonaws:jmespath-java:1.11.676,1,27,129,39,264,111
141,aopalliance:aopalliance:1.0,2,11,16,12,4,13
142,org.hibernate:hibernate-entitymanager:4.3.11.Final,1,440,3909,1106,6228,4798
143,org.jresearch.commons.base.resources:org.jresearch.commons.base.resources.api:1.0.9,1,13,46,0,0,0
144,org.codehaus.plexus:plexus-interpolation:1.14,1,94,275,155,295,511
145,org.sonatype.aether:aether-util:1.7,1,150,536,314,921,1240
146,com.google.guava:guava-jdk5:17.0,1,1610,11984,1140,92583,8836
147,com.google.j2objc:j2objc-annotations:1.1,1,13,12,3,2,8
148,com.fasterxml.jackson.core:jackson-annotations:2.6.0,1,26,204,39,68,110
149,antlr:antlr:2.7.7,1,687,2746,243,9772,3538
150,org.slf4j:jcl-over-slf4j:1.7.18,1,27,149,82,53,183
151,org.jboss.logging:jboss-logging:3.1.3.GA,1,83,652,138,1560,288
152,org.jboss:jandex:1.1.0.Final,1,86,409,192,637,668
153,org.hibernate.javax.persistence:hibernate-jpa-2.1-api:1.0.0.Final,1,57,998,50,96,196
154,log4j:log4j:1.2.17,2,673,2358,945,4488,4277
