number,rootCoordinate,artifact,mergeTime,internalNodes,externalNodes,internalEdges,externalEdges,resolvedNodes,resolvedEdges,dependencies
36,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4,0,890,9,121,327,119,121,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
37,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4,11,185,54,214,135,1019,1107,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
38,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j.dss:dss-xades:5.0.d4j.4,13,388,193,434,620,928,1407,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
39,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j.dss:dss-cades:5.0.d4j.4,4,223,203,220,473,362,652,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
40,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j.dss:validation-policy:5.0.d4j.4,5,1278,79,918,292,1207,1908,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
41,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j.dss:dss-asic-common:5.0.d4j.4,0,96,32,53,78,53,98,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
42,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4,0,81,64,58,117,106,163,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
43,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4,0,74,60,45,91,98,135,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
44,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j.dss:dss-utils:5.0.d4j.4,0,64,1,0,1,0,0,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
45,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4,0,32,32,0,32,31,31,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
46,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4,0,35,14,7,27,17,29,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4
