number,coordinate,occurrence,isolatedRevisionTime,internalNodes,externalNodes,internalEdges,externalEdges
38,org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4,1,12,35,40,7,58
39,org.digidoc4j.dss:validation-policy:5.0.d4j.5,1,132,1278,507,1697,1509
40,org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.3,1,11,32,32,0,32
41,commons-cli:commons-cli:1.4,3,51,284,108,376,405
42,org.digidoc4j.dss:dss-asic-xades:5.0.d4j.3,1,22,74,108,69,171
43,org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4,1,35,185,226,214,499
44,org.bouncycastle:bcprov-jdk15on:1.54,3,3371,16912,1069,132768,14384
45,commons-logging:commons-logging:1.2,3,91,337,199,381,563
46,org.digidoc4j.dss:dss-document:5.0.d4j.3,1,65,478,577,215,1142
47,org.digidoc4j.dss:dss-cades:5.0.d4j.4,1,68,223,497,232,1260
48,org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.5,1,11,35,40,7,58
49,org.digidoc4j.dss:dss-model:5.0.d4j.4,1,75,516,135,213,486
50,org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.5,1,12,82,11,13,23
51,org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4,1,20,74,108,69,171
52,org.digidoc4j.dss:dss-spi:5.0.d4j.5,1,153,497,498,292,1277
53,org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4,1,13,32,32,0,32
54,org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.3,1,39,185,226,214,499
55,org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.5,1,22,169,16,54,36
56,io.scalajs:core_sjs0.6_2.11:0.3.0.7,1,72,832,238,551,638
57,org.digidoc4j.dss:validation-policy:5.0.d4j.4,1,132,1278,507,1697,1509
58,com.google.guava:guava:20.0,3,1864,13956,1342,112622,8843
59,org.digidoc4j.dss:dss-asic-cades:5.0.d4j.5,1,25,81,118,82,227
60,org.scala-js:scalajs-library_2.11:0.6.14,1,359,4884,1104,3193,2454
61,org.digidoc4j.dss:dss-cades:5.0.d4j.3,1,73,223,497,232,1260
62,org.scala-lang:scala-reflect:2.11.8,1,2991,26865,1758,66812,15298
63,org.digidoc4j.dss:dss-token:5.0.d4j.4,1,21,43,79,31,131
64,org.digidoc4j:digidoc4j:1.0.7.1,1,173,1440,820,1775,3374
65,org.digidoc4j.dss:dss-service:5.0.d4j.5,1,55,209,329,333,652
66,org.digidoc4j.dss:dss-model:5.0.d4j.5,1,77,516,135,213,486
67,org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.5,1,10,32,32,0,32
68,org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.3,1,57,890,10,121,328
69,org.apache.santuario:xmlsec:2.0.8,3,662,4780,1065,10122,6637
70,org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.5,1,22,257,7,27,28
71,org.digidoc4j.dss:dss-reports:5.0.d4j.5,1,43,319,223,258,554
72,org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4,1,15,82,11,13,23
73,org.bouncycastle:bcpkix-jdk15on:1.54,3,359,2895,1435,4767,6067
74,org.digidoc4j.dss:dss-spi:5.0.d4j.4,1,86,497,498,292,1277
75,org.slf4j:slf4j-api:1.7.25,3,49,451,103,473,227
76,xalan:serializer:2.7.2,3,228,1217,339,2701,1410
77,org.digidoc4j.dss:dss-asic-common:5.0.d4j.5,1,27,96,86,53,189
78,org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4,1,29,397,5,27,65
79,org.scala-lang:scala-library:2.11.8,1,9928,47282,885,606729,3519
80,org.digidoc4j.dss:validation-policy:5.0.d4j.3,1,144,1273,505,1685,1501
81,org.digidoc4j.dss:dss-reports:5.0.d4j.4,1,41,319,223,258,554
82,org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4,1,25,81,118,82,227
83,org.apache.httpcomponents:httpclient:4.5.3,3,495,3024,1059,4754,4986
84,org.digidoc4j.dss:dss-document:5.0.d4j.5,1,72,478,577,215,1142
85,org.digidoc4j.dss:dss-token:5.0.d4j.3,1,17,43,79,31,131
86,org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.3,1,12,35,40,7,58
87,org.digidoc4j.dss:dss-xades:5.0.d4j.3,1,90,388,480,453,1561
88,org.digidoc4j.dss:dss-spi:5.0.d4j.3,1,89,497,496,292,1275
89,org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4,1,23,257,7,27,28
90,org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.3,1,15,82,11,13,23
91,commons-codec:commons-codec:1.10,3,146,718,199,892,996
92,org.digidoc4j.dss:dss-asic-common:5.0.d4j.4,1,27,96,86,53,189
93,org.digidoc4j.dss:dss-asic-cades:5.0.d4j.3,1,102,81,118,82,227
94,org.slf4j:jcl-over-slf4j:1.7.22,3,23,149,82,53,177
95,org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.5,1,28,397,5,27,65
96,org.digidoc4j.dss:dss-cades:5.0.d4j.5,1,72,223,497,232,1260
97,org.digidoc4j.dss:dss-document:5.0.d4j.4,1,73,478,577,215,1142
98,log4j:log4j:1.2.17,3,330,2358,945,4488,4017
